Feature, Required Features
com.oracle.svm.core.graal.stackvalue.StackValueFeature, []
com.oracle.svm.core.graal.jdk.JDKIntrinsicsFeature, []
com.oracle.svm.core.graal.snippets.amd64.AMD64SnippetsFeature, []
com.oracle.svm.core.graal.snippets.StackOverflowCheckFeature, []
com.oracle.svm.core.graal.snippets.SafepointFeature, []
com.oracle.svm.core.graal.snippets.CFunctionSnippets$CFunctionSnippetsFeature, []
com.oracle.svm.core.heap.ReferenceAccessFeature, []
com.oracle.svm.core.heap.HostedHeapSizeVerifierFeature, []
com.oracle.svm.core.heap.GCCauseFeature, []
com.oracle.svm.core.code.InstalledCodeObserverFeature, []
com.oracle.svm.core.code.CodeInfoFeature, [com.oracle.svm.core.util.CounterFeature]
com.oracle.svm.core.code.CodeInfoMemoryWalkerFeature, []
com.oracle.svm.core.jdk.localization.CharsetSubstitutionsFeature, []
com.oracle.svm.core.jdk.VarHandleFeature, []
com.oracle.svm.core.jdk.TimeZoneFeature, []
com.oracle.svm.core.jdk.TrustStoreManagerFeature, []
com.oracle.svm.core.jdk.SystemInOutErrFeature, []
com.oracle.svm.core.jdk.AccessControlContextFeature, []
com.oracle.svm.core.jdk.ResourcesFeature, []
com.oracle.svm.core.jdk.RecordFeatureBeforeJDK16, []
com.oracle.svm.core.jdk.InnocuousForkJoinWorkerThreadFeature, []
com.oracle.svm.core.jdk.AtomicFieldUpdaterFeature, []
com.oracle.svm.core.jdk.PlatformNativeLibrarySupportFeature, []
com.oracle.svm.core.jdk.NativeLibrarySupportFeature, []
com.oracle.svm.core.jdk.JavaNetFeature, []
com.oracle.svm.core.jdk.FileSystemProviderFeature, []
com.oracle.svm.core.jdk.ClassLoaderSupportFeature, []
com.oracle.svm.core.c.function.IsolateSupportFeature, []
com.oracle.svm.core.c.ProjectHeaderFile$HeaderResolverRegistrationFeature, []
com.oracle.svm.core.c.CTypeConversionFeature, []
com.oracle.svm.core.option.OptionAccessFeature, []
com.oracle.svm.core.SubstrateSegfaultHandlerFeature, []
com.oracle.svm.core.SubstrateExitHandlerFeature, []
com.oracle.svm.core.StaticFieldsFeature, []
com.oracle.svm.core.RuntimeAssertionsFeature, []
com.oracle.svm.core.IsolateListenerFeature, []
com.oracle.svm.core.ContainersFeature, []
com.oracle.svm.hosted.jdk11.ClassLoaderSupportFeatureJDK11OrLater, []
com.oracle.svm.enterprise.hosted.reflection.a, []
com.oracle.svm.reflect.serialize.hosted.SerializationFeature, [com.oracle.svm.reflect.hosted.ReflectionFeature]
com.oracle.svm.reflect.proxy.hosted.DynamicProxyFeature, [com.oracle.svm.reflect.hosted.ReflectionFeature]
com.oracle.svm.jni.access.JNIAccessFeature, []
com.oracle.svm.jni.functions.JNIFunctionTablesFeature, [com.oracle.svm.jni.access.JNIAccessFeature]
com.oracle.svm.jni.hosted.JNICallWrapperFeature, [com.oracle.svm.jni.access.JNIAccessFeature]
com.oracle.svm.jni.hosted.JNILibraryLoadFeature, []
com.oracle.svm.jni.hosted.JNIFeature, [com.oracle.svm.jni.functions.JNIFunctionTablesFeature com.oracle.svm.jni.hosted.JNICallWrapperFeature com.oracle.svm.jni.hosted.JNILibraryLoadFeature]
com.oracle.svm.jni.hosted.JNIAutomaticFeature, [com.oracle.svm.jni.hosted.JNIFeature]
com.oracle.svm.enterprise.hosted.phases.b, []
com.oracle.svm.enterprise.hosted.pgo.a, []
com.oracle.svm.enterprise.hosted.heap.a, []
com.oracle.svm.enterprise.hosted.k, []
com.oracle.svm.enterprise.hosted.e, []
com.oracle.svm.enterprise.hosted.c, []
com.oracle.svm.enterprise.hosted.a, []
com.oracle.svm.hosted.xml.JavaxXmlClassAndResourcesLoaderFeature, []
com.oracle.svm.hosted.thread.VMThreadMTFeature, []
com.oracle.svm.hosted.thread.CEntryPointFeature, [com.oracle.svm.hosted.thread.VMThreadMTFeature]
com.oracle.svm.hosted.substitute.AutomaticSubstitutionFeature, []
com.oracle.svm.hosted.snippets.ImplicitExceptionsFeature, []
com.oracle.svm.hosted.phases.EnumSwitchFeature, []
com.oracle.svm.hosted.option.RuntimeOptionFeature, []
com.oracle.svm.hosted.meta.InvalidVTableEntryFeature, []
com.oracle.svm.hosted.meta.MaterializedConstantFieldsFeature, []
com.oracle.svm.hosted.lambda.StableLambdaProxyNameFeature, []
com.oracle.svm.hosted.jdk.JNIRegistrationsJavaZip, []
com.oracle.svm.hosted.jdk.JNIRegistrationSupport, []
com.oracle.svm.hosted.jdk.JNIRegistrationPrefs, []
com.oracle.svm.hosted.jdk.JNIRegistrationJavaNio, []
com.oracle.svm.hosted.jdk.JNIRegistrationJava, []
com.oracle.svm.hosted.jdk.JNIRegistrationJavaNet, []
com.oracle.svm.hosted.jdk.JNIRegistrationAwt, []
com.oracle.svm.hosted.jdk.JDKRegistrations, []
com.oracle.svm.hosted.jdk.JDKInitializationFeature, []
com.oracle.svm.hosted.image.StringInternFeature, []
com.oracle.svm.hosted.image.LoomContinuationFeature, []
com.oracle.svm.hosted.image.ImageHeapFillerObjectsFeature, []
com.oracle.svm.hosted.image.DisallowedImageHeapObjectFeature, [com.oracle.svm.core.jdk.management.ManagementFeature]
com.oracle.svm.hosted.code.amd64.AMD64HostedPatcherFeature, []
com.oracle.svm.hosted.code.SubstrateLIRBackendFeature, []
com.oracle.svm.hosted.code.RestrictHeapAccessCalleesFeature, []
com.oracle.svm.hosted.code.CompilationInfoFeature, []
com.oracle.svm.hosted.code.CFunctionPointerCallStubSupportFeature, []
com.oracle.svm.hosted.code.CFunctionLinkagesFeature, []
com.oracle.svm.hosted.code.CEntryPointLiteralFeature, []
com.oracle.svm.hosted.code.CEntryPointCallStubFeature, []
com.oracle.svm.hosted.c.function.CEntryPointSupport, []
com.oracle.svm.hosted.annotation.AnnotationTypeFeature, []
com.oracle.svm.hosted.annotation.AnnotationSupportFeature, []
com.oracle.svm.hosted.ameta.HostedDynamicHubFeature, []
com.oracle.svm.enterprise.hosted.h, []
com.oracle.svm.hosted.SubstrateDiagnosticFeature, []
com.oracle.svm.hosted.SubstitutionReportFeature, []
com.oracle.svm.hosted.SecurityServicesFeature, []
com.oracle.svm.hosted.ServiceLoaderFeature, []
com.oracle.svm.hosted.ResourcesFeature, []
com.oracle.svm.hosted.ReachabilityHandlerFeature, []
com.oracle.svm.hosted.LoggingFeature, []
com.oracle.svm.hosted.FallbackFeature, []
com.oracle.svm.hosted.ClassValueFeature, []
com.oracle.svm.hosted.ClassPredefinitionFeature, []
com.oracle.svm.hosted.ClassNewInstanceFeature, []
com.oracle.svm.hosted.ClassLoaderFeature, []
com.oracle.svm.core.thread.JavaThreadsFeature, []
com.oracle.svm.core.jdk.ForkJoinPoolFeature, []
com.oracle.svm.hosted.ModuleLayerFeature, []
